###FILE ALREADY PARSED###
BPM 0 1
BPM 360 120
BPM 20052.31 800
BPM 20462.56 120
BPM 83436.92 240
BPM 84052.31 120
BPM 85898.46 60
BPM 86513.85 120
BPM 91436.92 240
BPM 92052.31 60
BPM 92667.69 240
BPM 93283.08 60
BPM 93898.46 240
BPM 94513.85 60
BPM 95129.23 240
BPM 95744.62 60
BPM 96360 120
BPM 97590.77 240
BPM 100052.31 800
BPM 101283.08 120
BPM 110000.00 1

975.39 0 1
1590.77 0 7
2206.15 0 1
2821.54 0 7
3436.92 0 1
3744.62 0 1
4052.31 0 1
4360 0 1
4667.69 0 7
4975.39 0 7
5283.08 0 7
5590.77 0 7
5898.46 0 1
6052.31 0 2
6206.15 0 3
6360 0 4
6513.85 0 3
6667.69 0 2
6821.54 0 2
6975.39 0 3
7129.23 0 4
7283.08 0 5
7436.92 0 6
7590.77 0 5
7744.62 0 5
7898.46 0 4
8052.31 0 4
8360 0 7
8513.85 0 1
8667.69 0 1
8821.54 0 7
8975.39 0 6
9129.23 0 2
9283.08 0 2
9436.92 0 5
9590.77 0 5
9744.62 0 3
9898.46 0 5
10052.31 0 3
10206.15 0 5
10360 0 3
10513.85 0 5
10667.69 0 3
10821.54 0 1
10975.39 0 2
11129.23 0 3
11283.08 0 4
11436.92 0 3
11590.77 0 2
11744.62 0 2
11898.46 0 3
12052.31 0 4
12206.15 0 5
12360 0 6
12513.85 0 5
12667.69 0 5
12821.54 0 4
12975.39 0 4
13283.08 0 7
13436.92 0 1
13590.77 0 1
13744.62 0 7
13898.46 0 6
14052.31 0 2
14206.15 0 2
14360 0 5
14513.85 0 5
14667.69 0 3
14821.54 0 5
14975.39 0 3
15129.23 0 2
15283.08 0 2
15686.92 0 4
15706.15 0 5
15725.39 0 6
15744.62 0 7
15994.62 0 3
16013.85 0 4
16033.08 0 5
16052.31 0 6
16302.31 0 2
16321.54 0 3
16340.77 0 4
16360 0 5
16610 0 1
16629.23 0 2
16648.46 0 3
16667.690000000002 0 4
16975.38 0 7
17129.23 0 5
17283.08 0 6
17436.92 0 7
17590.77 0 6
17616.41 0 5
17642.05 0 4
17667.69 0 3
17693.33 0 2
17718.97 0 1
17744.62 0 6
17770.26 0 5
17795.9 0 4
17821.54 0 3
17847.18 0 2
17872.82 0 1
17898.46 0 6
17924.1 0 5
17949.74 0 4
17975.38 0 3
18001.03 0 2
18026.67 0 1
18148.46 0 4
18167.69 0 5
18186.92 0 6
18206.15 0 7
18456.15 0 3
18475.38 0 4
18494.62 0 5
18513.85 0 6
18763.85 0 2
18783.08 0 3
18802.31 0 4
18821.54 0 5
19071.54 0 1
19090.77 0 2
19110 0 3
19129.23 0 4
19436.92 0 1
19590.77 0 2
19744.62 0 3
19898.46 0 4
20610 0 4
20629.23 0 5
20648.46 0 6
20667.69 0 7
20917.69 0 3
20936.92 0 4
